id,username,nome_completo,bio,cargo,sexo,raca,estado,partido,ideologia,seguidores,status_monitoramento,atualizado_em,ultima_pesquisa_id
3b7c9ab4-4d66-441f-b05a-d8220a3bb965,julianagarcia.br,Juliana Garcia,null,Influenciador,null,null,null,null,null,0,Ativo,2026-05-12 11:07:08.485407+00,null
38ee77d1-b386-4847-93d6-8c6c8e4e2b85,majorrochaoficial,Major Rocha,null,Vice-Governador,null,null,AC,null,null,0,Ativo,2026-05-05 14:18:42.511716+00,null
eca2be83-9473-4339-a30b-484c00dc4336,alvo_exemplo_3,Político Gama,null,Governador,null,null,DF,null,null,0,Ativo,2026-05-05 14:11:10.133728+00,null
15419499-3a7d-41e1-8df9-cd7044fbe4f1,alvo_exemplo_2,Candidata Beta,null,Senadora,null,null,RJ,null,null,0,Ativo,2026-05-05 14:05:38.692192+00,null
5265b239-7225-45f7-9b84-64aeced97820,alvo_exemplo_1,Candidato Alfa,null,Deputado,null,null,SP,null,null,0,Ativo,2026-05-05 14:00:32.910444+00,null
e7ca4638-855f-4fc2-add1-a11633b1917a,claud castro,Cláudio Castro,null,Governador,null,null,RJ,null,null,0,Ativo,2026-05-05 13:55:53.783172+00,null
01aa4840-56f6-4553-83be-9c87fc7af9d1,lucaspavanato,Lucas Pavanato,null,Vereador/Influencer,null,null,SP,null,null,0,Ativo,2026-05-05 13:50:05.978451+00,null
661048b1-e159-4540-abcd-5e6066279815,Lula,null,null,A Definir,null,null,null,A Definir,null,0,ATIVO,2026-05-05 13:43:27.559736+00,null
7f7a5c94-6341-4953-8230-7e66d8f700bf,thiagocartaxo_,Thiago Cartaxo,null,Influenciador Político,null,null,RN,null,null,0,Ativo,2026-05-05 13:38:12.494771+00,null
302f03ab-fe07-463a-bc39-aafee419513c,odenise_domingos,Odenise,null,Influenciador Político,null,null,RN,null,null,0,Ativo,2026-05-05 13:33:18.149631+00,null
3d30daee-8f60-44c7-bb56-0262ca36f9a7,danielrizzioficial,Daniel Rizzi,null,Influenciador Político,null,null,RN,null,null,0,Ativo,2026-05-05 13:28:04.10204+00,null
0b0fd1ec-a43d-4018-ac50-aeb80aaf95b7,professor_eronpt,Instagram,,Influenciador Político,null,null,RN,null,null,0,Ativo,2026-05-05 13:22:55.274215+00,null
c8462dae-8f2e-44cc-b4dd-7f175dfda4e9,andre_mendonca_stf,André Mendonça,null,Ministro STF,null,null,BR,null,null,0,Ativo,2026-05-05 13:17:42.950762+00,null
b1f5e365-c9bd-4e24-90d6-4c5a58345d8c,phcosta_brb,Paulo Henrique Costa,null,Deputado Federal,null,null,DF,null,null,0,Ativo,2026-05-05 13:08:36.769123+00,null
402370d9-9601-4110-bdb1-7bdf91ff24a7,gladsoncameli,Gladson Cameli,null,Governador,null,null,AC,null,null,0,Ativo,2026-05-05 12:54:11.225589+00,null
6baa9f28-b30c-41bd-8b4a-88a5a25ba601,fatimabezerra13,Fátima Bezerra,null,Governador,null,null,RN,null,null,0,Ativo,2026-05-05 12:48:03.987693+00,null
4acd53b1-cd4b-4a7e-bdd3-389928c24953,deputadotaveirajr,Taveira Júnior,null,Deputado Estadual,null,null,RN,null,null,0,Ativo,2026-05-05 12:41:58.860075+00,null
6eabd97d-808b-4fc1-8117-ceb054ed8257,novaparnamirimnoticias,DANIEL PEREIRA,null,Institucional,null,null,RN,null,null,0,Ativo,2026-05-05 12:35:49.572148+00,null
1e2c8f4e-08d1-4523-a761-8b38b1ae4741,ronaldocaiado,Ronaldo Caiado,null,Governador,null,null,GO,null,null,0,Ativo,2026-05-05 12:29:47.659344+00,null
2e191bac-c4d7-4b0f-bff7-f7496f4e6074,drazenaide,Dra. Zenaide,null,Institucional,null,null,RN,null,null,0,Ativo,2026-05-05 12:23:38.833783+00,null
b415cb6b-132c-40d9-9a57-a35526ba34cf,walteralvesrn,Walter Alves,null,Deputado Federal,null,null,RN,null,null,0,Ativo,2026-05-05 12:17:27.855987+00,null
6f415c92-e229-420a-9eb4-fb345c0926ca,isoldadantaspt,Isolda,null,Influenciador Político,null,null,RN,null,null,0,Ativo,2026-05-05 12:11:20.157565+00,null
07741f6a-3a4f-4d32-a306-25b9f4280e8b,faustinorn,Matheus Faustino,null,Influenciador Político,null,null,RN,null,null,0,Ativo,2026-05-05 12:05:08.508803+00,null
99b859ae-0547-46c8-b52f-a9c8923640ae,aniellefranco,Anielle Franco,null,Influenciador Político,null,null,RJ,null,null,0,Ativo,2026-05-05 11:59:00.779889+00,null
96b1e6e8-a597-4610-a623-5de49151c224,michellebolsonaro,Michelle Bolsonaro,null,Influenciador Político,null,null,BR,null,null,0,Ativo,2026-05-05 11:52:51.225395+00,null
e19525a7-a2c9-4b57-a48d-5c605d9eb945,marcelofreixo,Marcelo Freixo,null,Deputado Federal,null,null,RJ,null,null,0,Ativo,2026-05-05 11:46:41.618937+00,null
68ae3f7b-444c-4394-8bd7-3ff0e49e2fda,coronelazevedo22,Deputado Coronel Azevedo,null,Deputado Federal,null,null,RN,null,null,0,Ativo,2026-05-05 11:40:35.284344+00,null
3d0a8134-f0f1-4b46-b208-87094d7329be,vereadormarquinhosdaclimep,Marquinhos da Climep | Vereador de Parnamirim,null,Vereador,null,null,RN,null,null,0,Ativo,2026-05-05 11:34:29.195627+00,null
a77b6dd7-1056-4033-a19d-b8d5c65692fb,paulinhofreirern,Paulinho Freire,null,Influenciador Político,null,null,RN,null,null,0,Ativo,2026-05-05 11:28:23.136296+00,null
8c19426b-4688-4b6f-a651-b3f469eac53f,nataliabonavides,Natália Bonavides,null,Influenciador Político,null,null,RN,null,null,0,Ativo,2026-05-05 11:22:15.857256+00,null
bb731da0-5c59-479a-bfde-831d99464c64,verpretoaquino,Vereador Preto Aquino,null,Vereador,null,null,RN,null,null,0,Ativo,2026-05-05 11:00:26.53705+00,null
0a3b445f-6d74-40aa-9ea5-6962729e0687,jeronimorodriguesba,Jerônimo Rodrigues,null,Governador,null,null,PR,null,null,0,Ativo,2026-05-05 10:49:12.858828+00,null
5127e27e-21a9-4c4f-803f-68bea2e05ee5,cabodaciolo,Cabo Daciolo,null,Nacional,null,null,RJ,null,null,0,Ativo,2026-05-05 10:37:56.794894+00,null
4b328027-6ee4-431b-9a13-78b3fb7b2ee1,augustocury,Augusto Cury,null,Nacional,null,null,SP,null,null,0,Ativo,2026-05-05 10:26:42.878212+00,null
e6306828-0c52-465b-9a4a-8a43fa07deca,renansantosmbl,Renan Santos,null,Deputado Estadual,null,null,SP,null,null,0,Ativo,2026-05-05 10:20:35.774+00,null
3c3dd94a-63b8-45d3-9868-16b2f65abd60,ratinho_junior,Ratinho Júnior,null,Nacional,null,null,PR,null,null,0,Ativo,2026-05-05 10:14:22.787739+00,null
071bdc2a-a197-496b-821e-851617f98265,sostenescavalcante,Sóstenes Cavalcante,null,Deputado Federal,null,null,PE,null,null,0,Ativo,2026-05-05 10:08:12.536536+00,null
e9214fd9-c438-4e50-85c9-e9009af29a4c,cironogueira,Ciro Nogueira,null,Ministro,null,null,PI,null,null,0,Ativo,2026-05-05 09:31:08.406722+00,null
b0944b6e-8027-419d-ba0e-f1b3405e1f75,baleia.rossi,Baleia Rossi,null,Deputado Federal,null,null,SP,null,null,0,Ativo,2026-05-05 09:24:59.513482+00,null
5fe11fc2-b514-4f48-95ba-28e19f32171f,edinhosilvapt,Edinho Silva,null,Deputado Federal,null,null,SP,null,null,0,Ativo,2026-05-05 09:18:50.338621+00,null
adb9d3bf-dffb-4fc4-82ca-9d2b66ea171f,lulaoficial,Luiz Inácio Lula da Silva,Presidente do Brasil,Presidente,null,null,BR,null,null,14594952,Ativo,2026-05-05 01:30:49.305378+00,null
e95180b2-5356-45e8-bbf0-69ea8b34ec10,danielvilelaoficial,Daniel Vilela,null,Pré-candidato,null,null,GO,null,null,0,Ativo,2026-05-03 01:28:20.637274+00,null
16bcf565-deb7-42bf-90b1-9f34e0defbd2,vilmarrochaoficial,Vilmar Rocha,null,Pré-candidato,null,null,GO,null,null,0,Ativo,2026-05-03 01:28:19.806428+00,null
e72539c7-dab2-4033-a01e-6b71ef21355e,marconiperillooficial,Marconi Perillo,null,Pré-candidato,null,null,GO,null,null,0,Ativo,2026-05-03 01:28:18.051403+00,null
f3d01254-bdf4-4cc5-9e45-ba0117f52d7b,lincolntejotaoficial,Lincoln Tejota,null,Vice-Governador,null,null,GO,null,null,0,Ativo,2026-05-03 01:28:17.189231+00,null
f285930d-0820-4089-a600-a82425598274,ronaldocaiadooficial,Ronaldo Caiado,null,Governador,null,null,GO,null,null,0,Ativo,2026-05-03 01:28:16.140518+00,null
0bbaa472-932b-4d07-ae3e-ca050780d49e,sergiovigaloficial,Sérgio Vidigal,null,Pré-candidato,null,null,ES,null,null,0,Ativo,2026-05-03 01:28:14.886146+00,null
3658a81f-f2d9-4b3e-a985-32f2f359b334,gleisihoffmann,Gleisi Hoffmann,null,Deputada Federal,null,null,PR,null,null,1229868,Ativo,2026-05-02 11:46:58.677384+00,null
