id,username,nome_completo,bio,cargo,sexo,raca,estado,partido,ideologia,seguidores,status_monitoramento,atualizado_em,ultima_pesquisa_id
3b7c9ab4-4d66-441f-b05a-d8220a3bb965,julianagarcia.br,Juliana Garcia,Perfil político em monitoramento.,Influenciador,Feminino,Não Informado,,Não Informado,Não Informada,0,Ativo,2026-05-12 11:07:08.485407+00,
38ee77d1-b386-4847-93d6-8c6c8e4e2b85,majorrochaoficial,Major Rocha,"Major Rocha, político do Acre.",Vice-Governador,Masculino,Branca,AC,MDB,Direita,0,Ativo,2026-05-05 14:18:42.511716+00,
eca2be83-9473-4339-a30b-484c00dc4336,alvo_exemplo_3,Político Gama,Perfil político em monitoramento.,Governador,Masculino,Não Informado,DF,Não Informado,Não Informada,0,Ativo,2026-05-05 14:11:10.133728+00,
15419499-3a7d-41e1-8df9-cd7044fbe4f1,alvo_exemplo_2,Candidata Beta,Perfil político em monitoramento.,Senadora,Feminino,Não Informado,RJ,Não Informado,Não Informada,0,Ativo,2026-05-05 14:05:38.692192+00,
5265b239-7225-45f7-9b84-64aeced97820,alvo_exemplo_1,Candidato Alfa,Perfil político em monitoramento.,Deputado,Masculino,Não Informado,SP,Não Informado,Não Informada,0,Ativo,2026-05-05 14:00:32.910444+00,
e7ca4638-855f-4fc2-add1-a11633b1917a,claud castro,Cláudio Castro,Governador do Rio de Janeiro.,Governador,Masculino,Branca,RJ,PL,Direita,0,Ativo,2026-05-05 13:55:53.783172+00,
01aa4840-56f6-4553-83be-9c87fc7af9d1,lucaspavanato,Lucas Pavanato,Vereador e influenciador conservador em SP.,Vereador/Influencer,Masculino,Branca,SP,PL,Direita,0,Ativo,2026-05-05 13:50:05.978451+00,
661048b1-e159-4540-abcd-5e6066279815,Lula,Luiz Inácio Lula da Silva,Presidente do Brasil.,A Definir,Masculino,Branca,BR,PT,Esquerda,0,ATIVO,2026-05-05 13:43:27.559736+00,
7f7a5c94-6341-4953-8230-7e66d8f700bf,thiagocartaxo_,Thiago Cartaxo,Perfil político em monitoramento.,Influenciador Político,Masculino,Não Informado,RN,Não Informado,Não Informada,0,Ativo,2026-05-05 13:38:12.494771+00,
302f03ab-fe07-463a-bc39-aafee419513c,odenise_domingos,Odenise,Perfil político em monitoramento.,Influenciador Político,Masculino,Não Informado,RN,Não Informado,Não Informada,0,Ativo,2026-05-05 13:33:18.149631+00,
3d30daee-8f60-44c7-bb56-0262ca36f9a7,danielrizzioficial,Daniel Rizzi,Perfil político em monitoramento.,Influenciador Político,Masculino,Não Informado,RN,Não Informado,Não Informada,0,Ativo,2026-05-05 13:28:04.10204+00,
0b0fd1ec-a43d-4018-ac50-aeb80aaf95b7,professor_eronpt,Instagram,Perfil político em monitoramento.,Influenciador Político,Masculino,Não Informado,RN,Não Informado,Não Informada,0,Ativo,2026-05-05 13:22:55.274215+00,
c8462dae-8f2e-44cc-b4dd-7f175dfda4e9,andre_mendonca_stf,André Mendonça,Ministro do Supremo Tribunal Federal.,Ministro STF,Masculino,Branca,BR,Sem Partido,Direita,0,Ativo,2026-05-05 13:17:42.950762+00,
b1f5e365-c9bd-4e24-90d6-4c5a58345d8c,phcosta_brb,Paulo Henrique Costa,Perfil político em monitoramento.,Deputado Federal,Masculino,Não Informado,DF,Não Informado,Não Informada,0,Ativo,2026-05-05 13:08:36.769123+00,
402370d9-9601-4110-bdb1-7bdf91ff24a7,gladsoncameli,Gladson Cameli,Governador do Estado do Acre.,Governador,Masculino,Parda,AC,PP,Direita,0,Ativo,2026-05-05 12:54:11.225589+00,
6baa9f28-b30c-41bd-8b4a-88a5a25ba601,fatimabezerra13,Fátima Bezerra,Governadora do Rio Grande do Norte.,Governador,Feminino,Branca,RN,PT,Esquerda,0,Ativo,2026-05-05 12:48:03.987693+00,
4acd53b1-cd4b-4a7e-bdd3-389928c24953,deputadotaveirajr,Taveira Júnior,Perfil político em monitoramento.,Deputado Estadual,Feminino,Não Informado,RN,Não Informado,Não Informada,0,Ativo,2026-05-05 12:41:58.860075+00,
6eabd97d-808b-4fc1-8117-ceb054ed8257,novaparnamirimnoticias,DANIEL PEREIRA,Perfil político em monitoramento.,Institucional,Masculino,Não Informado,RN,Não Informado,Não Informada,0,Ativo,2026-05-05 12:35:49.572148+00,
1e2c8f4e-08d1-4523-a761-8b38b1ae4741,ronaldocaiado,Ronaldo Caiado,Governador de Goiás.,Governador,Masculino,Branca,GO,UNIÃO,Direita,0,Ativo,2026-05-05 12:29:47.659344+00,
2e191bac-c4d7-4b0f-bff7-f7496f4e6074,drazenaide,Dra. Zenaide,Senadora pelo Rio Grande do Norte.,Institucional,Feminino,Branca,RN,PSD,Centro-Esquerda,0,Ativo,2026-05-05 12:23:38.833783+00,
b415cb6b-132c-40d9-9a57-a35526ba34cf,walteralvesrn,Walter Alves,Vice-Governador do Rio Grande do Norte.,Deputado Federal,Masculino,Branca,RN,MDB,Centro,0,Ativo,2026-05-05 12:17:27.855987+00,
6f415c92-e229-420a-9eb4-fb345c0926ca,isoldadantaspt,Isolda,Deputada Estadual do RN.,Influenciador Político,Feminino,Branca,RN,PT,Esquerda,0,Ativo,2026-05-05 12:11:20.157565+00,
07741f6a-3a4f-4d32-a306-25b9f4280e8b,faustinorn,Matheus Faustino,Perfil político em monitoramento.,Influenciador Político,Masculino,Não Informado,RN,Não Informado,Não Informada,0,Ativo,2026-05-05 12:05:08.508803+00,
99b859ae-0547-46c8-b52f-a9c8923640ae,aniellefranco,Anielle Franco,Ministra da Igualdade Racial.,Influenciador Político,Feminino,Preta,RJ,PT,Esquerda,0,Ativo,2026-05-05 11:59:00.779889+00,
96b1e6e8-a597-4610-a623-5de49151c224,michellebolsonaro,Michelle Bolsonaro,Ex-primeira-dama do Brasil.,Influenciador Político,Feminino,Branca,BR,PL,Direita,0,Ativo,2026-05-05 11:52:51.225395+00,
e19525a7-a2c9-4b57-a48d-5c605d9eb945,marcelofreixo,Marcelo Freixo,Presidente da Embratur e político no RJ.,Deputado Federal,Masculino,Branca,RJ,PT,Esquerda,0,Ativo,2026-05-05 11:46:41.618937+00,
68ae3f7b-444c-4394-8bd7-3ff0e49e2fda,coronelazevedo22,Deputado Coronel Azevedo,Deputado Estadual pelo RN.,Deputado Federal,Masculino,Branca,RN,PL,Direita,0,Ativo,2026-05-05 11:40:35.284344+00,
3d0a8134-f0f1-4b46-b208-87094d7329be,vereadormarquinhosdaclimep,Marquinhos da Climep | Vereador de Parnamirim,Perfil político em monitoramento.,Vereador,Masculino,Não Informado,RN,Não Informado,Não Informada,0,Ativo,2026-05-05 11:34:29.195627+00,
a77b6dd7-1056-4033-a19d-b8d5c65692fb,paulinhofreirern,Paulinho Freire,Deputado Federal pelo RN.,Influenciador Político,Masculino,Branca,RN,UNIÃO,Direita,0,Ativo,2026-05-05 11:28:23.136296+00,
8c19426b-4688-4b6f-a651-b3f469eac53f,nataliabonavides,Natália Bonavides,Deputada Federal pelo RN.,Influenciador Político,Feminino,Branca,RN,PT,Esquerda,0,Ativo,2026-05-05 11:22:15.857256+00,
bb731da0-5c59-479a-bfde-831d99464c64,verpretoaquino,Vereador Preto Aquino,Perfil político em monitoramento.,Vereador,Masculino,Não Informado,RN,Não Informado,Não Informada,0,Ativo,2026-05-05 11:00:26.53705+00,
0a3b445f-6d74-40aa-9ea5-6962729e0687,jeronimorodriguesba,Jerônimo Rodrigues,Governador da Bahia.,Governador,Masculino,Parda,PR,PT,Esquerda,0,Ativo,2026-05-05 10:49:12.858828+00,
5127e27e-21a9-4c4f-803f-68bea2e05ee5,cabodaciolo,Cabo Daciolo,Político e bombeiro militar.,Nacional,Masculino,Branca,RJ,PDT,Centro-Direita,0,Ativo,2026-05-05 10:37:56.794894+00,
4b328027-6ee4-431b-9a13-78b3fb7b2ee1,augustocury,Augusto Cury,Perfil político em monitoramento.,Nacional,Masculino,Não Informado,SP,Não Informado,Não Informada,0,Ativo,2026-05-05 10:26:42.878212+00,
e6306828-0c52-465b-9a4a-8a43fa07deca,renansantosmbl,Renan Santos,Coordenador do Movimento Brasil Livre (MBL).,Deputado Estadual,Masculino,Branca,SP,UNIÃO,Direita,0,Ativo,2026-05-05 10:20:35.774+00,
3c3dd94a-63b8-45d3-9868-16b2f65abd60,ratinho_junior,Ratinho Júnior,Governador do Paraná.,Nacional,Masculino,Branca,PR,PSD,Centro-Direita,0,Ativo,2026-05-05 10:14:22.787739+00,
071bdc2a-a197-496b-821e-851617f98265,sostenescavalcante,Sóstenes Cavalcante,Perfil político em monitoramento.,Deputado Federal,Masculino,Não Informado,PE,Não Informado,Não Informada,0,Ativo,2026-05-05 10:08:12.536536+00,
e9214fd9-c438-4e50-85c9-e9009af29a4c,cironogueira,Ciro Nogueira,Senador pelo Piauí e Presidente Nacional do PP.,Ministro,Masculino,Branca,PI,PP,Direita,0,Ativo,2026-05-05 09:31:08.406722+00,
b0944b6e-8027-419d-ba0e-f1b3405e1f75,baleia.rossi,Baleia Rossi,Deputado Federal e Presidente Nacional do MDB.,Deputado Federal,Masculino,Branca,SP,MDB,Centro,0,Ativo,2026-05-05 09:24:59.513482+00,
5fe11fc2-b514-4f48-95ba-28e19f32171f,edinhosilvapt,Edinho Silva,Prefeito de Araraquara e liderança do PT.,Deputado Federal,Masculino,Branca,SP,PT,Esquerda,0,Ativo,2026-05-05 09:18:50.338621+00,
adb9d3bf-dffb-4fc4-82ca-9d2b66ea171f,lulaoficial,Luiz Inácio Lula da Silva,Presidente do Brasil.,Presidente,Masculino,Branca,BR,PT,Esquerda,14594952,Ativo,2026-05-05 01:30:49.305378+00,
e95180b2-5356-45e8-bbf0-69ea8b34ec10,danielvilelaoficial,Daniel Vilela,Perfil político em monitoramento.,Pré-candidato,Masculino,Não Informado,GO,Não Informado,Não Informada,0,Ativo,2026-05-03 01:28:20.637274+00,
16bcf565-deb7-42bf-90b1-9f34e0defbd2,vilmarrochaoficial,Vilmar Rocha,Perfil político em monitoramento.,Pré-candidato,Masculino,Não Informado,GO,Não Informado,Não Informada,0,Ativo,2026-05-03 01:28:19.806428+00,
e72539c7-dab2-4033-a01e-6b71ef21355e,marconiperillooficial,Marconi Perillo,Perfil político em monitoramento.,Pré-candidato,Masculino,Não Informado,GO,Não Informado,Não Informada,0,Ativo,2026-05-03 01:28:18.051403+00,
f3d01254-bdf4-4cc5-9e45-ba0117f52d7b,lincolntejotaoficial,Lincoln Tejota,Perfil político em monitoramento.,Vice-Governador,Masculino,Não Informado,GO,Não Informado,Não Informada,0,Ativo,2026-05-03 01:28:17.189231+00,
f285930d-0820-4089-a600-a82425598274,ronaldocaiadooficial,Ronaldo Caiado,Perfil político em monitoramento.,Governador,Masculino,Não Informado,GO,Não Informado,Não Informada,0,Ativo,2026-05-03 01:28:16.140518+00,
0bbaa472-932b-4d07-ae3e-ca050780d49e,sergiovigaloficial,Sérgio Vidigal,Perfil político em monitoramento.,Pré-candidato,Masculino,Não Informado,ES,Não Informado,Não Informada,0,Ativo,2026-05-03 01:28:14.886146+00,
3658a81f-f2d9-4b3e-a985-32f2f359b334,gleisihoffmann,Gleisi Hoffmann,Deputada Federal e Presidente Nacional do PT.,Deputada Federal,Feminino,Branca,PR,PT,Esquerda,1229868,Ativo,2026-05-02 11:46:58.677384+00,
91edb744-9a0e-4c2f-a5c6-44637d9e4019,rinhonader,Ratinho Júnior,Perfil político em monitoramento.,Governador,Masculino,Não Informado,PR,Não Informado,Não Informada,0,Ativo,2026-05-02 11:46:39.70668+00,
43eecd1a-59aa-4512-8322-8e28d999ca3c,danielvorcaro,Daniel Vorcaro,Perfil político em monitoramento.,Deputado Federal,Masculino,Não Informado,MG,Não Informado,Não Informada,784,Ativo,2026-05-02 11:46:20.686451+00,
35a684a8-63c1-4e83-b107-47ac0fa807ad,carlosjordy,Carlos Jordy,Perfil político em monitoramento.,Deputado Federal,Masculino,Não Informado,RJ,Não Informado,Não Informada,1370988,Ativo,2026-05-02 11:45:40.969919+00,
1f62319e-d37d-4e0a-a484-dface01cf2c2,aldorebelo,Aldo Rebelo,Perfil político em monitoramento.,Nacional,Masculino,Não Informado,SP,Não Informado,Não Informada,156959,Ativo,2026-05-02 11:45:11.866409+00,
47eba153-1362-454a-bb4a-4136312ea2a2,erikahiltonoficial,,Perfil político em monitoramento.,Influenciador Político,,Não Informado,SP,Não Informado,Não Informada,0,Ativo,2026-05-02 11:44:52.759007+00,
f63438b8-055d-45f3-88c6-14919f25bb05,alvarodiasrn,,Perfil político em monitoramento.,Deputado Estadual,,Não Informado,RN,Não Informado,Não Informada,120963,Ativo,2026-05-02 11:43:54.152337+00,
ebd5a7b4-0b66-456f-a2e4-bf96caea713f,flaviobolsonaro,Flávio Bolsonaro,Senador pelo Rio de Janeiro.,Senador,Masculino,Branca,BR,PL,Direita,10172769,Ativo,2026-05-02 11:42:09.407758+00,
865e5c91-c429-4268-ac36-17a921c3fda1,allysonbezerra.rn,Allyson Bezerra,Prefeito de Mossoró (RN).,Deputado Federal,Masculino,Parda,RN,UNIÃO,Centro-Direita,377256,Ativo,2026-05-02 11:41:10.501482+00,
395210f0-22b2-4279-bff0-4e882820484a,nikolasferreirainfo,Nikolas Ferreira,Deputado Federal por Minas Gerais.,Influenciador Político,Masculino,Branca,MG,PL,Direita,2896256,Ativo,2026-05-02 11:40:51.569453+00,
c03bd92a-b0a8-4c98-bd02-72c269b2d540,styvensonvalentim,Styvenson Valentim,Senador pelo Rio Grande do Norte.,Deputado Federal,Masculino,Branca,RN,Podemos,Direita,0,Ativo,2026-05-02 11:40:32.218459+00,
12c345fc-96b5-4396-8138-c5136bf3c730,jones.manoel,Jones Manoel,"Historiador, escritor e comunicador popular. Pré-candidato a deputado federal por Pernambuco, comunista e um lutador pela Revolução Brasileira!",Influenciador Político,Masculino,Não Informado,PE,Não Informado,Não Informada,1965583,Ativo,2026-05-02 11:39:34.735048+00,
0d15cfc6-a8fe-4ca4-a4ee-683a502aad72,rogeriomarinho,Rogério Marinho,Senador pelo Rio Grande do Norte.,Ministro STF,Masculino,Branca,RN,PL,Direita,285,Ativo,2026-05-02 11:39:14.711845+00,
6fbc2c7a-55b0-4895-89ad-7029aa9a10d4,fatimabezerrapetista,,Perfil político em monitoramento.,Influenciador Político,,Não Informado,RN,Não Informado,Não Informada,0,Ativo,2026-05-02 11:38:55.587971+00,
820d0836-b458-4dc3-8029-61897210c300,andremoreiraoficial,André Moreira,Perfil político em monitoramento.,Pré-candidato,Masculino,Não Informado,ES,Não Informado,Não Informada,2,Ativo,2026-05-02 11:34:28.242273+00,
d9024c00-327e-4b6d-be02-5af64cf1ab84,gustavosartorioficial,Gustavo Sartori,Perfil político em monitoramento.,Pré-candidato,Masculino,Não Informado,ES,Não Informado,Não Informada,8797,Ativo,2026-05-01 20:11:33.130739+00,
f6cff2d1-e948-4df4-af5e-c5ae483bd108,jaquelinemoraesoficial,Jaqueline Moraes,Perfil político em monitoramento.,Vice-Governadora,Masculino,Não Informado,ES,Não Informado,Não Informada,0,Ativo,2026-05-01 20:11:14.098705+00,
