pk,username,full_name,level,status,estado,instagram_url
1829217327,vereadoriraniguedes,Irani Guedes,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/vereadoriraniguedes/
4062916123,vereadorederqueiroz,Eder Queiroz,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/vereadorederqueiroz/
8152145515,michaelborgesrn,Michael Borges de Souza,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/michaelborgesrn/
947981402,rodrigocruz_rn,Vereador Rodrigo Cruz,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/rodrigocruz_rn/
50778510841,cctv.parnamirim,Centro Cultural Trampolim da Vitória,Local (Satélite),Monitorado,BR,https://www.instagram.com/cctv.parnamirim/
15751467,thiagofernandesrn,Vereador Thiago Fernandes,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/thiagofernandesrn/
3050739253,drjonasgodeiro,"Dr. Jonas Godeiro | Vereador de Parnamirim, RN",Local (Parnamirim),Monitorado,RN,https://www.instagram.com/drjonasgodeiro/
16921611254,vereadoreuricodajapao,Vereador Eurico da Japão,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/vereadoreuricodajapao/
497147174,binhodeambrosio,Binho de Ambrósio | Vereador Parnamirim-RN,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/binhodeambrosio/
22490086785,vereadorafraniobezerra,Afrânio Bezerra,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/vereadorafraniobezerra/
386253510,eudianemacedorn,Eudiane Macedo 💜,Regional (RN),Monitorado,RN,https://www.instagram.com/eudianemacedorn/
195490070,rafaelmottarn,Rafael Motta,Regional (RN),Monitorado,RN,https://www.instagram.com/rafaelmottarn/
205117222,vereadorarhalessarn,Vereadora Rhalessa,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/vereadorarhalessarn/
45666921813,ver.chicao,Chicão | Vereador de Parnamirim,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/ver.chicao/
365113043,michaeldinizrn,Michael Diniz,Regional (RN),Monitorado,RN,https://www.instagram.com/michaeldinizrn/
64184539618,annelagartixa,Vereadora Anne Lagartixa,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/annelagartixa/
4713942899,rafaeladenilda,Rafaela filha de Nilda,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/rafaeladenilda/
1505661646,vereadorleolima,Léo Lima,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/vereadorleolima/
3756014093,professordiegoamerico,Prof Diego Americo,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/professordiegoamerico/
2188989739,sargentofahur,Sargento Fahur,Nacional,Monitorado,PR,https://www.instagram.com/sargentofahur/
9518080808,nikolasferreirainfo,Nikolas Ferreira Info 🇧🇷,Nacional,Monitorado,MG,https://www.instagram.com/nikolasferreirainfo/
195396577,geraldoalckmin_,Geraldo Alckmin,Nacional,Monitorado,BR,https://www.instagram.com/geraldoalckmin_/
182842524,professor_italo,Vereador Professor Italo,Local (Parnamirim),Monitorado,RN,https://www.instagram.com/professor_italo/
5862888020,drcesarmaia,Dr. César Maia,Regional (RJ),Monitorado,RJ,https://www.instagram.com/drcesarmaia/
7176728773,antenorroberto65,Antenor Roberto,Regional (RN),Monitorado,RN,https://www.instagram.com/antenorroberto65/
4543587667,vereadora_nina,Nina oficial RN,Regional (RN),Monitorado,RN,https://www.instagram.com/vereadora_nina/
8005558680,zedirceuoficial,Zé Dirceu,Nacional,Monitorado,BR,https://www.instagram.com/zedirceuoficial/
578154010,gleisihoffmann,Gleisi Hoffmann,Nacional,Monitorado,PR,https://www.instagram.com/gleisihoffmann/
1436624169,dilmarousseff,Dilma Rousseff,Nacional,Monitorado,BR,https://www.instagram.com/dilmarousseff/
